fieldsample_barcode	sampling_method	cell.10km_representative	extraction_method	extraction_id1	extraction_id2	extractionplate_id1	extractionplate_id2	extraction_row1	extraction_row2	extraction_col1	extraction_col2	extraction_conc1	extraction_conc2	library_method	library_id1	library_id2	libraryplate_id1	libraryplate_id2	library_row1	library_row2	library_col1	library_col2	library_conc1	library_conc2	sequencing_method	sequencing_id1	sequencing_id2	internal_name	before_total_reads	after_total_reads	passed_filter_reads	corrected_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads	before_total_bases	before_q20_bases	before_q30_bases	after_total_bases	after_q20_bases	after_q30_bases	corrected_bases	before_read1_mean_length	before_read2_mean_length	after_read1_mean_length	after_read2_mean_length	before_q20_rate	before_q30_rate	after_q20_rate	after_q30_rate	duplication_rate	before_gc_content	after_gc_content	peak_length
MFD10871	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ379-F2		EXT00124		F		2		0		ILLUMINA-DNA-PREP.V2	LIB-MJ390-F2		LIB00124		F		2		0.29		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ390-F2_03		LIB-MJ390-F2_03.fastq.gz	51871796	35661840	36606918	810838	1894388	220	13370270	0	7832641196	7422654192	6896289906	5253800279	5144410001	4879946148	1027361	151	151	147	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD11093	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ375-A2		EXT00120		A		2		9.92		ILLUMINA-DNA-PREP.V2	LIB-MJ386-A2		LIB00120		A		2		0.16		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ386-A2_04		LIB-MJ386-A2_04.fastq.gz	18652560	12842302	13068426	272828	953848	104	4630182	0	2816536560	2646816846	2439627741	1895671785	1851717135	1747643077	337594	151	151	148	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10981	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ378-H2		EXT00123		H		2		25.43		ILLUMINA-DNA-PREP.V2	LIB-MJ389-H2		LIB00123		H		2		0.6		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ389-H2_03		LIB-MJ389-H2_03.fastq.gz	22886534	15780548	16083422	333857	941966	70	5861076	0	3455866634	3262534934	3020146173	2324391915	2273655500	2151924797	419395	151	151	147	146	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD11008	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ371-E8		EXT00116		E		8		10.87		ILLUMINA-DNA-PREP.V2	LIB-MJ382-E8		LIB00116		E		8		0.02		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ382-E8_02		LIB-MJ382-E8_02.fastq.gz	1808	1298	1322	32	56	0	430	0	273008	259660	242155	191845	188145	178926	41	151	151	148	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD11006	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ372-B6		EXT00117		B		6		30.58		ILLUMINA-DNA-PREP.V2	LIB-MJ383-B6		LIB00117		B		6		0.62		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ383-B6_01		LIB-MJ383-B6_01.fastq.gz	58934878	44238398	45389024	734924	2027080	90	11518684	0	8899166578	8479702069	7906304134	6566779917	6437290120	6118701465	925662	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD11027	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ374-F1		EXT00119		F		1		24.95		ILLUMINA-DNA-PREP.V2	LIB-MJ385-F1		LIB00119		F		1		0.38		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ385-F1_04		LIB-MJ385-F1_04.fastq.gz	41979806	28864628	29505526	667262	1698580	284	10775416	0	6338950706	6008415844	5573400963	4254069794	4164536253	3945850940	821323	151	151	147	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD11074	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ373-D11		EXT00118		D		11		22.5		ILLUMINA-DNA-PREP.V2	LIB-MJ384-D11		LIB00118		D		11		0.51		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ384-D11_01		LIB-MJ384-D11_01.fastq.gz	22298398	14365828	14710372	757072	1210318	6	6377702	0	3367058098	3141726117	2880354577	2106688968	2055559414	1935838810	973873	151	151	146	146	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD11015	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ369-G2		EXT00114		G		2		16.14		ILLUMINA-DNA-PREP.V2	LIB-MJ380-G2		LIB00114		G		2		0.26		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ380-G2_03		LIB-MJ380-G2_03.fastq.gz	40537750	29410012	30445478	834014	1364304	60	8727908	0	6121200250	5815119096	5408099653	4343139411	4255508307	4036468021	1058160	151	151	147	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10750	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ374-F11		EXT00119		F		11		33.47		ILLUMINA-DNA-PREP.V2	LIB-MJ385-F11		LIB00119		F		11		0.29		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ385-F11_04		LIB-MJ385-F11_04.fastq.gz	30003334	20774938	21174112	424254	1534396	170	7294656	0	4530503434	4268387943	3929075281	3072601965	2999444595	2827266620	521427	151	151	148	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10783	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ373-C11		EXT00118		C		11		49.71		ILLUMINA-DNA-PREP.V2	LIB-MJ384-C11		LIB00118		C		11		1.04		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ384-C11_01		LIB-MJ384-C11_01.fastq.gz	15806220	10332400	10501770	627846	786480	2	4517968	0	2386739220	2224451193	2029326812	1515932647	1473456175	1378051190	840715	151	151	146	147	0.9	0.9	1	0.9	0	0.6	0.6	151
