fieldsample_barcode	sampling_method	cell.10km_representative	extraction_method	extraction_id1	extraction_id2	extractionplate_id1	extractionplate_id2	extraction_row1	extraction_row2	extraction_col1	extraction_col2	extraction_conc1	extraction_conc2	library_method	library_id1	library_id2	libraryplate_id1	libraryplate_id2	library_row1	library_row2	library_col1	library_col2	library_conc1	library_conc2	sequencing_method	sequencing_id1	sequencing_id2	internal_name	before_total_reads	after_total_reads	passed_filter_reads	corrected_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads	before_total_bases	before_q20_bases	before_q30_bases	after_total_bases	after_q20_bases	after_q30_bases	corrected_bases	before_read1_mean_length	before_read2_mean_length	after_read1_mean_length	after_read2_mean_length	before_q20_rate	before_q30_rate	after_q20_rate	after_q30_rate	duplication_rate	before_gc_content	after_gc_content	peak_length
MFD07937	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ187-C4		EXT00058		C		4		11.7		ILLUMINA-DNA-PREP.V2	LIB-MJ199-C4		LIB00058		C		4		0.54		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ199-C4_04		LIB-MJ199-C4_04.fastq.gz	28332048	22152774	22951882	446736	720442	192	4659532	0	4278139248	4112350506	3896725718	3288574572	3240444446	3118301723	566704	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07938	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ187-B11		EXT00058		B		11		13.15		ILLUMINA-DNA-PREP.V2	LIB-MJ199-B11		LIB00058		B		11		0.65		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ199-B11_04		LIB-MJ199-B11_04.fastq.gz	27634782	21483574	22255358	486263	690580	170	4688674	0	4172852082	4008624147	3792325600	3186528012	3138072037	3015868611	611425	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07939	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ187-A1	EXT-MJ399-E10	EXT00058	REPREP9	A	E	1	10	17.42	19.84	ILLUMINA-DNA-PREP.V2	LIB-MJ199-A1	LIB-MJ410-E10	LIB00058	REPREP9	A	E	1	10	0.05	0.37	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ199-A1_04	LIB-MJ410-E10_02	LIB-MJ199-A1_04_v_LIB-MJ410-E10_02.fastq.gz	33315020	21971980	22461592	1066123	1050520	18	9802890	0	5030568020	4768905346	4430301704	3185306445	3118872049	2954898550	1332244	151	151	138.5	138.5	0.9	0.9	1	0.9	0	0.6	0.6	97.5
MFD07940	MFD-DRY	Yes	PowerSoil-Pro-HT	EXT-MJ185-E3		EXT00056		E		3		9.49		ILLUMINA-DNA-PREP.V2	LIB-MJ197-E3		LIB00056		E		3		0.39		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ197-E3_03		LIB-MJ197-E3_03.fastq.gz	29531696	21595644	22067334	795463	941346	116	6522900	0	4459286096	4240718468	3974507149	3176551748	3122059210	2984830476	1013573	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07941	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ187-D2		EXT00058		D		2		6.07		ILLUMINA-DNA-PREP.V2	LIB-MJ199-D2		LIB00058		D		2		0.42		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ199-D2_04		LIB-MJ199-D2_04.fastq.gz	26663458	20226542	20878830	564490	587654	154	5196820	0	4026182158	3863392111	3656356544	2988207758	2942983593	2829019548	712562	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07942	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ185-B2		EXT00056		B		2		9.9		ILLUMINA-DNA-PREP.V2	LIB-MJ197-B2		LIB00056		B		2		0.3		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ197-B2_03		LIB-MJ197-B2_03.fastq.gz	41997834	24714612	25450250	1704884	1067376	36	15480172	0	6341672934	6000809871	5626276743	3495296145	3440421416	3298067262	2162832	151	151	141	141	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD07943	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ187-F7		EXT00058		F		7		9.72		ILLUMINA-DNA-PREP.V2	LIB-MJ199-F7		LIB00058		F		7		0.66		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ199-F7_04		LIB-MJ199-F7_04.fastq.gz	36645276	28861670	29987142	626520	800918	246	5856970	0	5533436676	5330368342	5050057017	4289169997	4224649220	4062579022	796169	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07944	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ189-H5		EXT00060		H		5		9.65		ILLUMINA-DNA-PREP.V2	LIB-MJ201-H5		LIB00060		H		5		0.43		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ201-H5_03		LIB-MJ201-H5_03.fastq.gz	28428320	21202460	21891624	501607	752782	130	5783784	0	4292676320	4111087339	3885665512	3126948638	3080437602	2959854303	631311	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07945	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ188-E5		EXT00059		E		5		5.31		ILLUMINA-DNA-PREP.V2	LIB-MJ200-E5		LIB00059		E		5		0.39		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ200-E5_04		LIB-MJ200-E5_04.fastq.gz	35537190	27073598	28020724	659728	871790	228	6644448	0	5366115690	5152572157	4879515198	4005021975	3946543456	3798117975	833579	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07946	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ209-G4		EXT00066		G		4		2.16		ILLUMINA-DNA-PREP.V2	LIB-MJ215-G4		LIB00066		G		4		0.44		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ215-G4_01		LIB-MJ215-G4_01.fastq.gz	34738220	25937640	26943862	849314	756036	16	7038306	0	5245471220	5060184691	4801754268	3805482345	3755702440	3620935332	1044709	151	151	146	146	1	0.9	1	1	0	0.6	0.6	151
MFD07947	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ212-D11		EXT00069		D		11		2.64		ILLUMINA-DNA-PREP.V2	LIB-MJ218-D11		LIB00069		D		11		0.56		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ218-D11_04		LIB-MJ218-D11_04.fastq.gz	25030436	18810090	19274604	551012	573100	28	5182704	0	3779595836	3628191453	3424050168	2774069729	2730202575	2617605880	692042	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07948	MFD-DRY	Yes	PowerSoil-Pro-HT	EXT-MJ209-H7		EXT00066		H		7		9.49		ILLUMINA-DNA-PREP.V2	LIB-MJ215-H7		LIB00066		H		7		0.66		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ215-H7_01		LIB-MJ215-H7_01.fastq.gz	30211546	22380578	23211462	549557	794968	28	6205088	0	4561943446	4388536158	4150415060	3298320076	3251472177	3127328683	674484	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07949	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ212-H5		EXT00069		H		5		6.98		ILLUMINA-DNA-PREP.V2	LIB-MJ218-H5		LIB00069		H		5		0.97		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ218-H5_04		LIB-MJ218-H5_04.fastq.gz	26824624	20246658	20765856	501958	776438	18	5282312	0	4050518224	3875722113	3652209061	2992247331	2945087541	2823855222	623565	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07950	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ210-H9		EXT00067		H		9		11.7		ILLUMINA-DNA-PREP.V2	LIB-MJ216-H9		LIB00067		H		9		0.59		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ216-H9_02		LIB-MJ216-H9_02.fastq.gz	23513220	18248624	18879014	325361	637126	4	3997076	0	3550496220	3422687337	3245661186	2704755182	2668871087	2571859960	403089	151	151	148	148	1	0.9	1	1	0	0.6	0.6	151
MFD07951	MFD-DRY	Yes	PowerSoil-Pro-HT	EXT-MJ210-G3		EXT00067		G		3		7.92		ILLUMINA-DNA-PREP.V2	LIB-MJ216-G3		LIB00067		G		3		0.65		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ216-G3_02		LIB-MJ216-G3_02.fastq.gz	29945854	23263958	24326336	416778	734786	2	4884730	0	4521823954	4367030926	4146263470	3450566347	3404866852	3281526337	515761	151	151	148	148	1	0.9	1	1	0	0.6	0.6	151
MFD07952	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ212-A6		EXT00069		A		6		4.94		ILLUMINA-DNA-PREP.V2	LIB-MJ218-A6		LIB00069		A		6		0.56		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ218-A6_04		LIB-MJ218-A6_04.fastq.gz	30617600	23305416	24047376	599685	745550	24	5824650	0	4623257600	4442118134	4200788730	3442800761	3392286529	3260410242	746859	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07953	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ212-F5		EXT00069		F		5		2.73		ILLUMINA-DNA-PREP.V2	LIB-MJ218-F5		LIB00069		F		5		0.52		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ218-F5_04		LIB-MJ218-F5_04.fastq.gz	25040680	18954480	19414746	486449	573898	14	5052022	0	3781142680	3631657415	3431350705	2798296800	2756557410	2648098378	607422	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07954	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ208-E2		EXT00065		E		2		5.75		ILLUMINA-DNA-PREP.V2	LIB-MJ214-E2		LIB00065		E		2		0.96		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ214-E2_02		LIB-MJ214-E2_02.fastq.gz	24867832	19586944	20270674	387799	573196	8	4023954	0	3755042632	3624193162	3436977122	2904526232	2864866934	2758124418	479513	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07955	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ211-D4		EXT00068		D		4		4.58		ILLUMINA-DNA-PREP.V2	LIB-MJ217-D4		LIB00068		D		4		0.92		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ217-D4_03		LIB-MJ217-D4_03.fastq.gz	31925798	24771278	25573834	439215	781434	8	5570522	0	4820795498	4644454090	4408632139	3670831934	3622190327	3491407636	543813	151	151	148	148	1	0.9	1	1	0	0.6	0.6	151
MFD07956	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ212-B2		EXT00069		B		2		8.64		ILLUMINA-DNA-PREP.V2	LIB-MJ218-B2		LIB00069		B		2		0.77		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ218-B2_04		LIB-MJ218-B2_04.fastq.gz	24786508	17837982	18302048	581935	642208	12	5842240	0	3742762708	3582436267	3377065336	2615781585	2575913920	2472456018	721522	151	151	146	146	1	0.9	1	0.9	0	0.6	0.6	151
MFD07957	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ238-H5		EXT00081		H		5		3.48		ILLUMINA-DNA-PREP.V2	LIB-MJ255-H5		LIB00081		H		5		0.12		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ255-H5_02		LIB-MJ255-H5_02.fastq.gz	23961440	16147546	17435938	384101	411278	26	6114198	0	3618177440	3483996078	3329375669	2354100539	2330224234	2260358563	462612	151	151	145	145	1	0.9	1	1	0.1	0.6	0.6	151
MFD07958	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ239-B2		EXT00082		B		2		6.81		ILLUMINA-DNA-PREP.V2	LIB-MJ256-B2		LIB00082		B		2		0.14		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ256-B2_03		LIB-MJ256-B2_03.fastq.gz	22904970	15206362	16347556	409770	390116	68	6167230	0	3458650470	3342501607	3184460683	2209434129	2185398240	2115297432	489723	151	151	145	145	1	0.9	1	1	0.1	0.6	0.6	151
MFD07959	MFD-DRY	Yes	PowerSoil-Pro-HT	EXT-MJ237-D10	EXT-MJ396-B8	EXT00080	REPREP6	D	B	10	8	9.37	6.41	ILLUMINA-DNA-PREP.V2	LIB-MJ254-D10	LIB-MJ407-B8	LIB00080	REPREP6	D	B	10	8	0.1	0.028997124	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ254-D10_02	LIB-MJ407-B8_04	LIB-MJ254-D10_02_v_LIB-MJ407-B8_04.fastq.gz	22143994	16269396	17300454	358578	402380	62	4441098	0	3343743094	3233334915	3076780026	2396305753	2367430220	2286123869	439927	151	151	146	146.5	1	0.9	1	1	0	0.6	0.6	151
MFD07960	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ241-B8		EXT00084		B		8		5.5		ILLUMINA-DNA-PREP.V2	LIB-MJ307-B8		LIB00084		B		8		0.70897		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ307-B8_01		LIB-MJ307-B8_01.fastq.gz	26449402	20184578	20928602	376927	685476	66	4835258	0	3993859702	3827024449	3598265555	2998215618	2948502847	2819799900	483016	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07961	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ241-E2		EXT00084		E		2		4.39		ILLUMINA-DNA-PREP.V2	LIB-MJ307-E2		LIB00084		E		2		1.32258		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ307-E2_01		LIB-MJ307-E2_01.fastq.gz	26585540	20898992	21684578	436510	478772	76	4422114	0	4014416540	3870857845	3665496155	3101514127	3056278182	2935470103	556750	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07962	MFD-DRY	No	PowerSoil-Pro-HT		EXT-MJ401-F4		REPREP11		F		4		4.41	ILLUMINA-DNA-PREP.V2		LIB-MJ415-F4		REPREP11		F		4		0.2	Illumina NovaSeq 6000, 2 × 150 bp		LIB-MJ415-F4_04	LIB-MJ415-F4_04.fastq.gz	38211488	26360612	27364432	868501	1024264	14	9822778	0	5769934688	5500596082	5137565432	3866338559	3790840863	3603591052	1101289	151	151	146	146	1	0.9	1	0.9	0	0.6	0.6	151
MFD07963	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ240-G2		EXT00083		G		2		2.23		ILLUMINA-DNA-PREP.V2	LIB-MJ306-G2		LIB00083		G		2		0.28427		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ306-G2_01		LIB-MJ306-G2_01.fastq.gz	31861236	23475960	24605962	583360	764264	102	6490908	0	4811046636	4607731721	4352127864	3467017460	3415911585	3281005670	743985	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07964	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ242-E8	EXT-MJ401-H4	EXT00085	REPREP11	E	H	8	4	1.47	7.56	ILLUMINA-DNA-PREP.V2	LIB-MJ259-E8	LIB-MJ415-H4	LIB00085	REPREP11	E	H	8	4	0.01	0.2	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ259-E8_04	LIB-MJ415-H4_04	LIB-MJ259-E8_04_v_LIB-MJ415-H4_04.fastq.gz	42045102	30515666	32027578	668968	1019252	22	8998250	0	6348810402	6088902231	5717816283	4496621056	4418324183	4216324699	824959	151	151	140.5	140.5	0.9	0.9	1	1	0	0.6	0.6	97.5
MFD07965	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ239-H6		EXT00082		H		6		2.82		ILLUMINA-DNA-PREP.V2	LIB-MJ256-H6		LIB00082		H		6		0.4		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ256-H6_03		LIB-MJ256-H6_03.fastq.gz	30284540	22786906	24287808	320823	660070	174	5336488	0	4572965540	4427509141	4210468247	3373017634	3330887554	3213456789	390689	151	151	148	147	1	0.9	1	1	0.1	0.6	0.6	151
MFD07966	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ241-A6		EXT00084		A		6		7.82		ILLUMINA-DNA-PREP.V2	LIB-MJ307-A6		LIB00084		A		6		0.54744		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ307-A6_01		LIB-MJ307-A6_01.fastq.gz	29526468	22829668	23729860	450842	796616	78	4999914	0	4458496668	4276110415	4030669170	3392175449	3339330246	3201636342	573086	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07967	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ240-E8		EXT00083		E		8		3.26		ILLUMINA-DNA-PREP.V2	LIB-MJ306-E8		LIB00083		E		8		0.41127		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ306-E8_01		LIB-MJ306-E8_01.fastq.gz	25146270	18847816	19657400	369262	681088	78	4807704	0	3797086770	3633963483	3422673037	2794913701	2750689021	2636117777	470724	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07968	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ241-B3		EXT00084		B		3		5.9		ILLUMINA-DNA-PREP.V2	LIB-MJ307-B3		LIB00084		B		3		0.62033		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ307-B3_01		LIB-MJ307-B3_01.fastq.gz	30167828	22037242	23112926	467171	711354	88	6343460	0	4555342028	4367978690	4115337510	3256499295	3205154081	3071031350	593561	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07969	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ240-G10		EXT00083		G		10		2.9		ILLUMINA-DNA-PREP.V2	LIB-MJ306-G10		LIB00083		G		10		0.2705		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ306-G10_01		LIB-MJ306-G10_01.fastq.gz	28525726	21411916	22277672	515356	580442	74	5667538	0	4307384626	4135605853	3896865233	3167755202	3115951681	2982225772	664813	151	151	147	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07970	MFD-DRY	Yes	PowerSoil-Pro-HT	EXT-MJ241-E9		EXT00084		E		9		0.54		ILLUMINA-DNA-PREP.V2	LIB-MJ307-E9		LIB00084		E		9		0.19754		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ307-E9_01		LIB-MJ307-E9_01.fastq.gz	25627252	19293970	20313740	386166	698806	68	4614638	0	3869715052	3706442636	3492254969	2859427544	2814319747	2696751472	492156	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07971	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ238-A3		EXT00081		A		3		6.95		ILLUMINA-DNA-PREP.V2	LIB-MJ255-A3		LIB00081		A		3		0.1		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ255-A3_02		LIB-MJ255-A3_02.fastq.gz	18193096	12383968	13277322	283240	329200	30	4586544	0	2747157496	2656795574	2534154527	1802624848	1783360430	1727907833	344343	151	151	145	145	1	0.9	1	1	0.1	0.6	0.6	151
MFD07972	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ239-A10		EXT00082		A		10		16.07		ILLUMINA-DNA-PREP.V2	LIB-MJ256-A10		LIB00082		A		10		0.23		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ256-A10_03		LIB-MJ256-A10_03.fastq.gz	30741842	22200020	23681792	391222	526120	140	6533790	0	4642018142	4497173050	4282734243	3264477922	3225776182	3115018514	470435	151	151	147	147	1	0.9	1	1	0.1	0.6	0.6	151
MFD07973	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ238-D5		EXT00081		D		5		4.92		ILLUMINA-DNA-PREP.V2	LIB-MJ255-D5		LIB00081		D		5		0.22		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ255-D5_02		LIB-MJ255-D5_02.fastq.gz	41341520	28809006	31514324	546746	721942	72	9105182	0	6242569520	6050998354	5779069677	4234076308	4188900421	4058780170	665104	151	151	146	147	1	0.9	1	1	0.1	0.6	0.6	151
MFD07974	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ242-F5		EXT00085		F		5		5.65		ILLUMINA-DNA-PREP.V2	LIB-MJ259-F5		LIB00085		F		5		0.53		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ259-F5_04		LIB-MJ259-F5_04.fastq.gz	38467838	29784046	31534234	516031	803588	222	6129794	0	5808643538	5613659471	5330401121	4409505439	4349768729	4188951884	635236	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07975	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ237-E1		EXT00080		E		1		7.22		ILLUMINA-DNA-PREP.V2	LIB-MJ254-E1		LIB00080		E		1		0.12		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ254-E1_02		LIB-MJ254-E1_02.fastq.gz	17149644	11694918	12524418	255172	266810	36	4358380	0	2589596244	2509112704	2395602195	1706502831	1688604991	1636291640	311241	151	151	145	145	1	0.9	1	1	0.1	0.6	0.6	151
MFD07976	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ212-A9		EXT00069		A		9		3.72		ILLUMINA-DNA-PREP.V2	LIB-MJ218-A9		LIB00069		A		9		0.52		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ218-A9_04		LIB-MJ218-A9_04.fastq.gz	24717564	17824040	18265852	641071	581502	8	5870202	0	3732352164	3578589948	3371877521	2616106345	2574271278	2467313538	812600	151	151	146	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07977	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ211-C2		EXT00068		C		2		6.08		ILLUMINA-DNA-PREP.V2	LIB-MJ217-C2		LIB00068		C		2		0.7		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ217-C2_03		LIB-MJ217-C2_03.fastq.gz	28060458	21294688	21961722	436532	816482	4	5282250	0	4237129158	4074108051	3850259929	3148165583	3102892311	2982554162	536802	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07978	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ211-A4		EXT00068		A		4		8.63		ILLUMINA-DNA-PREP.V2	LIB-MJ217-A4		LIB00068		A		4		0.61		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ217-A4_03		LIB-MJ217-A4_03.fastq.gz	27218128	20626480	21283586	413993	669738	8	5264796	0	4109937328	3955119938	3752298496	3045224823	3004783850	2895764508	508854	151	151	147	147	1	0.9	1	1	0	0.6	0.6	151
MFD07979	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ240-H9		EXT00083		H		9		8.88		ILLUMINA-DNA-PREP.V2	LIB-MJ306-H9		LIB00083		H		9		0.42397		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ306-H9_01		LIB-MJ306-H9_01.fastq.gz	23044720	17435544	18016778	329505	618472	56	4409414	0	3479752720	3330634146	3132571156	2586315892	2543913662	2434409920	420067	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07980	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ242-F11		EXT00085		F		11		4.22		ILLUMINA-DNA-PREP.V2	LIB-MJ259-F11		LIB00085		F		11		0.31		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ259-F11_04		LIB-MJ259-F11_04.fastq.gz	38696276	28211328	29977890	594429	936486	180	7781720	0	5843137676	5609181772	5309972359	4161535608	4102371901	3944082242	724138	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07981	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ238-G1	EXT-MJ394-H8	EXT00081	REPREP4	G	H	1	8	2.82	1.54	ILLUMINA-DNA-PREP.V2	LIB-MJ255-G1	LIB-MJ405-H8	LIB00081	REPREP4	G	H	1	8	0.04	0.13	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ255-G1_02	LIB-MJ405-H8_01	LIB-MJ255-G1_02_v_LIB-MJ405-H8_01.fastq.gz	28122850	17462914	18227016	850691	692688	18	9203128	0	4246550350	4035053493	3788152861	2521239633	2482039101	2379092042	1059770	151	151	143.5	143.5	1	0.9	1	0.9	0	0.6	0.6	151
MFD07982	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ241-H7		EXT00084		H		7		5.94		ILLUMINA-DNA-PREP.V2	LIB-MJ307-H7		LIB00084		H		7		0.78295		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ307-H7_01		LIB-MJ307-H7_01.fastq.gz	26571826	19951232	20717518	335337	757210	80	5097018	0	4012345726	3840546659	3612102973	2960340898	2912032808	2787606619	429705	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07983	MFD-DRY	Yes	PowerSoil-Pro-HT	EXT-MJ208-G10		EXT00065		G		10		3.4		ILLUMINA-DNA-PREP.V2	LIB-MJ214-G10		LIB00065		G		10		0.63		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ214-G10_02		LIB-MJ214-G10_02.fastq.gz	30599800	23114406	23905120	594019	732150	4	5962526	0	4620569800	4441928720	4212866728	3406831431	3361378320	3238196438	726973	151	151	147	147	1	0.9	1	1	0	0.6	0.6	151
MFD07984	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ188-D9		EXT00059		D		9		5.42		ILLUMINA-DNA-PREP.V2	LIB-MJ200-D9		LIB00059		D		9		0.42		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ200-D9_04		LIB-MJ200-D9_04.fastq.gz	32375676	25068338	25941944	583891	714452	228	5719052	0	4888727076	4702928446	4459888626	3711095877	3658054144	3522228328	736590	151	151	147	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07985	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ189-A11		EXT00060		A		11		16.83		ILLUMINA-DNA-PREP.V2	LIB-MJ201-A11		LIB00060		A		11		0.21		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ201-A11_03		LIB-MJ201-A11_03.fastq.gz	31029204	22905126	23646774	582499	713768	146	6668516	0	4685409804	4491723666	4243267216	3367760451	3316259914	3182705489	737926	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD07986	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ186-B10		EXT00057		B		10		12.12		ILLUMINA-DNA-PREP.V2	LIB-MJ198-B10		LIB00057		B		10		0.38		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ198-B10_03		LIB-MJ198-B10_03.fastq.gz	31013134	23844490	24691272	437101	858960	180	5462722	0	4682983234	4497835758	4248418126	3533806950	3480024072	3342495539	552355	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07987	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ184-G8		EXT00055		G		8		3.32		ILLUMINA-DNA-PREP.V2	LIB-MJ196-G8		LIB00055		G		8		0.52		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ196-G8_02		LIB-MJ196-G8_02.fastq.gz	27459722	21244346	21910412	361394	774588	164	4774558	0	4146418022	3975263440	3749459517	3155557041	3106369021	2981580902	462049	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD07988	MFD-DRY	No	PowerSoil-Pro-HT	EXT-MJ189-A4		EXT00060		A		4		5.96		ILLUMINA-DNA-PREP.V2	LIB-MJ201-A4		LIB00060		A		4		0.16		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ201-A4_03		LIB-MJ201-A4_03.fastq.gz	17317778	11699546	12071222	386603	358358	58	4888140	0	2614984478	2499602076	2369378368	1700856990	1678387472	1617911478	485833	151	151	145	145	1	0.9	1	1	0	0.6	0.6	151
