fieldsample_barcode,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_conc,library_method,seq_id
MFD00067,EXT-MJ019-F6,EXT-MJ019-F6,EXT00001,F,6,22.73,PowerSoil-Pro-HT,LIB-MJ050-F6,LIB00001,F,4.95451,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F6_02
MFD00040,EXT-MJ019-F7,EXT-MJ019-F7,EXT00001,F,7,57.65,PowerSoil-Pro-HT,LIB-MJ050-F7,LIB00001,F,4.59865,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F7_02
MFD00045,EXT-MJ019-F8,EXT-MJ019-F8,EXT00001,F,8,28.51,PowerSoil-Pro-HT,LIB-MJ050-F8,LIB00001,F,2.38328,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F8_02
MFD00055,EXT-MJ019-F9,EXT-MJ019-F9,EXT00001,F,9,25.19,PowerSoil-Pro-HT,LIB-MJ050-F9,LIB00001,F,5.09736,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F9_02
MFD00123,EXT-MJ019-G1,EXT-MJ019-G1,EXT00001,G,1,33.91,PowerSoil-Pro-HT,LIB-MJ050-G1,LIB00001,G,6.40052,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G1_02
MFD00058,EXT-MJ019-G10,EXT-MJ019-G10,EXT00001,G,10,32.18,PowerSoil-Pro-HT,LIB-MJ050-G10,LIB00001,G,4.53099,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G10_02
MFD00057,EXT-MJ019-G11,EXT-MJ019-G11,EXT00001,G,11,75.75,PowerSoil-Pro-HT,LIB-MJ050-G11,LIB00001,G,5.02719,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G11_02
MFD00022,EXT-MJ019-G2,EXT-MJ019-G2,EXT00001,G,2,12.6,PowerSoil-Pro-HT,LIB-MJ050-G2,LIB00001,G,4.61619,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G2_02
MFD00042,EXT-MJ019-G3,EXT-MJ019-G3,EXT00001,G,3,39.49,PowerSoil-Pro-HT,LIB-MJ050-G3,LIB00001,G,4.65379,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G3_02
MFD00074,EXT-MJ019-G4,EXT-MJ019-G4,EXT00001,G,4,47.49,PowerSoil-Pro-HT,LIB-MJ050-G4,LIB00001,G,6.73634,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G4_02
MFD00118,EXT-MJ019-G5,EXT-MJ019-G5,EXT00001,G,5,21.96,PowerSoil-Pro-HT,LIB-MJ050-G5,LIB00001,G,5.59106,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G5_02
MFD00145,EXT-MJ019-G6,EXT-MJ019-G6,EXT00001,G,6,18.53,PowerSoil-Pro-HT,LIB-MJ050-G6,LIB00001,G,6.596,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G6_02
MFD00148,EXT-MJ019-G7,EXT-MJ019-G7,EXT00001,G,7,22.6,PowerSoil-Pro-HT,LIB-MJ050-G7,LIB00001,G,6.3905,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G7_02
MFD00037,EXT-MJ019-G8,EXT-MJ019-G8,EXT00001,G,8,14.26,PowerSoil-Pro-HT,LIB-MJ050-G8,LIB00001,G,3.83931,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G8_02
MFD00070,EXT-MJ019-G9,EXT-MJ019-G9,EXT00001,G,9,10.35,PowerSoil-Pro-HT,LIB-MJ050-G9,LIB00001,G,4.56106,ILLUMINA-DNA-PREP.V1,LIB-MJ050-G9_02
MFD00090,EXT-MJ019-H1,EXT-MJ019-H1,EXT00001,H,1,40.22,PowerSoil-Pro-HT,LIB-MJ050-H1,LIB00001,H,5.13495,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H1_02
MFD00065,EXT-MJ019-H10,EXT-MJ019-H10,EXT00001,H,10,43.94,PowerSoil-Pro-HT,LIB-MJ050-H10,LIB00001,H,4.17011,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H10_02
MFD00030,EXT-MJ019-H11,EXT-MJ019-H11,EXT00001,H,11,40.84,PowerSoil-Pro-HT,LIB-MJ050-H11,LIB00001,H,3.94206,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H11_02
MFD00014,EXT-MJ019-H2,EXT-MJ019-H2,EXT00001,H,2,0.25,PowerSoil-Pro-HT,LIB-MJ050-H2,LIB00001,H,2.23041,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H2_02
MFD00158,EXT-MJ019-H3,EXT-MJ019-H3,EXT00001,H,3,6.41,PowerSoil-Pro-HT,LIB-MJ050-H3,LIB00001,H,4.2077,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H3_02
MFD00039,EXT-MJ019-H4,EXT-MJ019-H4,EXT00001,H,4,73.42,PowerSoil-Pro-HT,LIB-MJ050-H4,LIB00001,H,3.71651,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H4_02
MFD00155,EXT-MJ019-H5,EXT-MJ019-H5,EXT00001,H,5,33.8,PowerSoil-Pro-HT,LIB-MJ050-H5,LIB00001,H,3.89194,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H5_02
MFD00053,EXT-MJ019-H6,EXT-MJ019-H6,EXT00001,H,6,25,PowerSoil-Pro-HT,LIB-MJ050-H6,LIB00001,H,3.85435,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H6_02
MFD00061,EXT-MJ019-H7,EXT-MJ019-H7,EXT00001,H,7,12.19,PowerSoil-Pro-HT,LIB-MJ050-H7,LIB00001,H,3.5862,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H7_02
MFD00056,EXT-MJ019-H8,EXT-MJ019-H8,EXT00001,H,8,19.78,PowerSoil-Pro-HT,LIB-MJ050-H8,LIB00001,H,4.33802,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H8_02
MFD00018,EXT-MJ019-H9,EXT-MJ019-H9,EXT00001,H,9,16.84,PowerSoil-Pro-HT,LIB-MJ050-H9,LIB00001,H,3.55863,ILLUMINA-DNA-PREP.V1,LIB-MJ050-H9_02
MFD00233,EXT-MJ037-A1,EXT-MJ037-A1,EXT00002,A,1,6.86,PowerSoil-Pro-HT,LIB-MJ051-A1,LIB00002,A,1.75024,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A1_02
MFD00341,EXT-MJ037-A10,EXT-MJ037-A10,EXT00002,A,10,24.51,PowerSoil-Pro-HT,LIB-MJ051-A10,LIB00002,A,3.12254,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A10_02
MFD00105,EXT-MJ037-A11,EXT-MJ037-A11,EXT00002,A,11,0.63,PowerSoil-Pro-HT,LIB-MJ051-A11,LIB00002,A,0.66815,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A11_02
MFD00157,EXT-MJ037-A12,EXT-MJ037-A12,EXT00002,A,12,11.53,PowerSoil-Pro-HT,LIB-MJ051-A12,LIB00002,A,1.59277,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A12_02
MFD00119,EXT-MJ037-A2,EXT-MJ037-A2,EXT00002,A,2,1.24,PowerSoil-Pro-HT,LIB-MJ051-A2,LIB00002,A,0.74239,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A2_02
MFD00212,EXT-MJ037-A3,EXT-MJ037-A3,EXT00002,A,3,1.06,PowerSoil-Pro-HT,LIB-MJ051-A3,LIB00002,A,0.92461,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A3_02
MFD00455,EXT-MJ037-A4,EXT-MJ037-A4,EXT00002,A,4,25.17,PowerSoil-Pro-HT,LIB-MJ051-A4,LIB00002,A,3.17428,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A4_02
