fieldsample_barcode	BioProject	BioSample	Metagenome	Metagenome_assembly	EUK_operon	BAC_operon	UMI_16SrRNA
MFD08882	PRJNA1071982	SAMN39872942	SRX23709455	MFD08882.fa			
MFD08883	PRJNA1071982	SAMN39872943	SRX23709456	MFD08883.fa			
MFD08884	PRJNA1071982	SAMN39872944	SRX23709457	MFD08884.fa			
MFD08885	PRJNA1071982	SAMN39872945	SRX23709458	MFD08885.fa			
MFD08886	PRJNA1071982	SAMN39872946	SRX23709459	MFD08886.fa			
MFD08887	PRJNA1071982	SAMN39872947	SRX23709460	MFD08887.fa			
MFD08888	PRJNA1071982	SAMN39872948	SRX23709461	MFD08888.fa			
MFD08889	PRJNA1071982	SAMN39872949	SRX23709463	MFD08889.fa			
MFD08890	PRJNA1071982	SAMN39872950	SRX23709464	MFD08890.fa			
MFD08891	PRJNA1071982	SAMN39872951	SRX23709465	MFD08891.fa			
MFD08892	PRJNA1071982	SAMN39872952	SRX23709466	MFD08892.fa			
MFD08893	PRJNA1071982	SAMN39872953	SRX23709467	MFD08893.fa			
MFD08894	PRJNA1071982	SAMN39872954	SRX23709468	MFD08894.fa			
MFD08895	PRJNA1071982	SAMN39872955	SRX23709469	MFD08895.fa			
MFD08896	PRJNA1071982	SAMN39872956	SRX23709470	MFD08896.fa			
MFD08897	PRJNA1071982	SAMN39872957	SRX23709638	MFD08897.fa			
MFD08898	PRJNA1071982	SAMN39872958	SRX23709639	MFD08898.fa			
MFD08899	PRJNA1071982	SAMN39872959	SRX23709939	MFD08899.fa			
MFD08900	PRJNA1071982	SAMN39872960	SRX23709940	MFD08900.fa			
MFD08901	PRJNA1071982	SAMN39872961	SRX23709941	MFD08901.fa			
MFD08902	PRJNA1071982	SAMN39872962	SRX23709942	MFD08902.fa			
MFD08903	PRJNA1071982	SAMN39872963	SRX23709943	MFD08903.fa			
MFD08904	PRJNA1071982	SAMN39872964	SRX23709944	MFD08904.fa			
MFD08905	PRJNA1071982	SAMN39872965	SRX23709945	MFD08905.fa			
MFD08906	PRJNA1071982	SAMN39872966	SRX23709946	MFD08906.fa			
MFD08907	PRJNA1071982	SAMN39872967	SRX23709947	MFD08907.fa			
MFD08908	PRJNA1071982	SAMN39872968	SRX23709948	MFD08908.fa			
MFD08909	PRJNA1071982	SAMN39872969	SRX23709950	MFD08909.fa			
