sample_name	accession
MFD01544	SAMN39866470
MFD01545	SAMN39866471
MFD01546	SAMN39866472
MFD01547	SAMN39866473
MFD01548	SAMN39866474
MFD01549	SAMN39866475
MFD01550	SAMN39866476
MFD01551	SAMN39866477
MFD01552	SAMN39866478
MFD01553	SAMN39866479
MFD01554	SAMN39866480
MFD01555	SAMN39866481
MFD01556	SAMN39866482
MFD01557	SAMN39866483
MFD01558	SAMN39866484
MFD01559	SAMN39866485
MFD01560	SAMN39866486
MFD01561	SAMN39866487
MFD01562	SAMN39866488
MFD01563	SAMN39866489
MFD01564	SAMN39866490
MFD01565	SAMN39866491
MFD01566	SAMN39866492
MFD01567	SAMN39866493
MFD01568	SAMN39866494
MFD01569	SAMN39866495
MFD01570	SAMN39866496
MFD01571	SAMN39866497
MFD01572	SAMN39866498
MFD01573	SAMN39866499
MFD01574	SAMN39866500
MFD01575	SAMN39866501
MFD01576	SAMN39866502
MFD01577	SAMN39866503
MFD01578	SAMN39866504
MFD01579	SAMN39866505
MFD01580	SAMN39866506
MFD01581	SAMN39866507
MFD01582	SAMN39866508
MFD01583	SAMN39866509
MFD01584	SAMN39866510
MFD01585	SAMN39866511
MFD01586	SAMN39866512
MFD01587	SAMN39866513
MFD01588	SAMN39866514
MFD01589	SAMN39866515
MFD01590	SAMN39866516
MFD01591	SAMN39866517
MFD01592	SAMN39866518
MFD01593	SAMN39866519
MFD01594	SAMN39866520
MFD01595	SAMN39866521
MFD01596	SAMN39866522
MFD01597	SAMN39866523
MFD01598	SAMN39866524
MFD01599	SAMN39866525
MFD01600	SAMN39866526
MFD01601	SAMN39866527
MFD01603	SAMN39866528
MFD01604	SAMN39866529
MFD01605	SAMN39866530
MFD01606	SAMN39866531
MFD01607	SAMN39866532
MFD01608	SAMN39866533
MFD01609	SAMN39866534
MFD01610	SAMN39866535
MFD01611	SAMN39866536
MFD01612	SAMN39866537
MFD01613	SAMN39866538
MFD01614	SAMN39866539
MFD01615	SAMN39866540
MFD01616	SAMN39866541
MFD01617	SAMN39866542
MFD01618	SAMN39866543
MFD01619	SAMN39866544
MFD01620	SAMN39866545
MFD01621	SAMN39866546
MFD01622	SAMN39866547
MFD01623	SAMN39866548
MFD01624	SAMN39866549
MFD01625	SAMN39866550
MFD01626	SAMN39866551
MFD01627	SAMN39866552
MFD01628	SAMN39866553
MFD01629	SAMN39866554
MFD01630	SAMN39866555
MFD01631	SAMN39866556
MFD01632	SAMN39866557
MFD01633	SAMN39866558
MFD01634	SAMN39866559
MFD01635	SAMN39866560
MFD01636	SAMN39866561
MFD01637	SAMN39866562
MFD01638	SAMN39866563
MFD01639	SAMN39866564
MFD01640	SAMN39866565
MFD01641	SAMN39866566
MFD01642	SAMN39866567
MFD01644	SAMN39866568
MFD01645	SAMN39866569
MFD01646	SAMN39866570
MFD01647	SAMN39866571
MFD01648	SAMN39866572
MFD01649	SAMN39866573
MFD01650	SAMN39866574
MFD01651	SAMN39866575
MFD01652	SAMN39866576
MFD01653	SAMN39866577
MFD01654	SAMN39866578
MFD01655	SAMN39866579
MFD01656	SAMN39866580
MFD01657	SAMN39866581
MFD01658	SAMN39866582
MFD01659	SAMN39866583
MFD01660	SAMN39866584
MFD01661	SAMN39866585
MFD01662	SAMN39866586
MFD01663	SAMN39866587
MFD01664	SAMN39866588
MFD01665	SAMN39866589
MFD01666	SAMN39866590
MFD01667	SAMN39866591
MFD01668	SAMN39866592
MFD01669	SAMN39866593
MFD01670	SAMN39866594
MFD01671	SAMN39866595
MFD01672	SAMN39866596
MFD01673	SAMN39866597
MFD01674	SAMN39866598
MFD01675	SAMN39866599
MFD01676	SAMN39866600
MFD01677	SAMN39866601
MFD01678	SAMN39866602
MFD01679	SAMN39866603
MFD01680	SAMN39866604
MFD01681	SAMN39866605
MFD01682	SAMN39866606
MFD01683	SAMN39866607
MFD01684	SAMN39866608
MFD01685	SAMN39866609
MFD01686	SAMN39866610
MFD01687	SAMN39866611
MFD01688	SAMN39866612
MFD01689	SAMN39866613
MFD01690	SAMN39866614
MFD01691	SAMN39866615
MFD01692	SAMN39866616
